EventType,Rate
"D",3260,0.0
"D",3261,0.0
"D",3262,0.0
"D",3263,0.0
"D",3264,0.0
"D",3265,0.0
"D",3266,0.0
"D",3267,0.0
"D",3268,0.0
"D",3269,0.0
"D",3270,0.0
"D",3271,0.0
"D",3272,0.0
"D",3273,0.0
"D",3274,0.0
"D",3275,0.0
"D",3276,0.0
"D",3277,0.0
"D",3278,0.0
"D",3279,0.0
"D",3280,0.0
"D",3281,0.0
"D",3282,0.0
"D",3283,0.0
"D",3284,0.0
"D",3285,0.0
"D",3286,0.0
"D",3287,0.0
"D",3288,0.0
"D",3289,0.0
"D",3290,0.0
"D",3291,0.0
"D",3292,0.0
"D",3293,0.0
"D",3294,0.0
"D",3295,0.0
"D",3296,0.0
"D",3297,0.0
"D",3298,0.0
"D",3299,0.0
"D",3300,0.0
"D",3301,0.0
"D",3302,0.0
"D",3303,0.0
"D",3304,0.0
"D",3305,0.0
"D",3306,0.0
"D",3307,0.0
"D",3308,0.0
"D",3309,0.0
"D",3310,0.0
"D",3311,0.0
"D",3312,0.0
"D",3313,0.0
"D",3314,0.0
"D",3315,0.0
"D",3316,0.0
"D",3317,0.0
"D",3318,0.0
"D",3319,0.0
"D",3320,0.0
"D",3321,0.0
"D",3322,0.0
"D",3323,0.0
"D",3325,0.0
"D",3326,0.0
"D",3327,0.0
"D",3328,0.0
"D",3329,0.0
"D",3330,0.0
"D",3331,0.0
"D",3332,0.0
"D",3333,0.0
"D",3334,0.0
"D",3335,0.0
"D",3336,0.0
"D",3337,0.0
"D",3338,0.0
"D",3339,0.0
"D",3340,0.0
"D",3341,0.0
"D",3342,0.0
"D",3343,0.0
"D",3344,0.0
"D",3345,0.0
"D",3346,0.0
"D",3347,0.0
"D",3348,0.0
"D",3349,0.0
"D",3350,0.0
"D",3351,0.0
"D",3352,0.0
"D",3353,0.0
"D",3354,0.0
"D",3355,0.0
"D",3356,0.0
"D",3357,0.0
"D",3358,0.0
"D",3359,0.0
